,prime_award_unique_key,prime_award_piid,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
3972,CONT_AWD_6982AF22F00148N_6925_6982AF22D000002_6925,6982AF22F00148N,34375.16,2022-08-23,69,Department of Transportation (DOT),KBCXMJ2WXRK7,"HDR ENGINEERING, INC.",802024824
3973,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3974,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3975,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3976,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3977,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3978,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3979,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3980,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3981,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3982,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3983,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3984,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3985,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3986,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3987,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3988,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3989,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3990,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3991,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3992,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3993,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3994,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3995,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3996,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3997,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3998,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3999,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
